customer_key,geography_key,customer_alternate_key,title,name,birth_date,marital_status,gender,email_address,total_children,education,occupation,house_owner_flag,number_cars_owned,address_line1,address_line2,phone
105,23,AW00011104,NULL,EdgarA Sara,1975-03-08,M,"M         ",edgar11@adventure-works.com,0,Bachelors,Professional,0,1,6127 Lilly Lane,NULL,1 (11) 500 555-0125
106,8,AW00011105,NULL,Candace  Fernandez,1970-06-27,S,"F         ",candace15@adventure-works.com,0,Bachelors,Professional,0,1,5029 Blue Ridge,NULL,1 (11) 500 555-0162
107,40,AW00011106,NULL,Jessie  Liu,1970-03-11,S,"M         ",jessie9@adventure-works.com,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,NULL,1 (11) 500 555-0163
108,17,AW00011107,NULL,Bianca  Lin,1976-03-04,M,"F         ",bianca7@adventure-works.com,1,Bachelors,Professional,1,1,7530 Eola,NULL,1 (11) 500 555-0121
109,13,AW00011108,NULL,KariC Alvarez,1969-01-10,S,"F         ",kari25@adventure-works.com,0,Bachelors,Professional,0,2,9178 Thornhill Place,NULL,1 (11) 500 555-0169
110,38,AW00011109,NULL,RubenD Kapoor,1980-04-30,S,"M         ",ruben1@adventure-works.com,0,Bachelors,Professional,0,2,1984 Glendale Circle,NULL,1 (11) 500 555-0132
111,3,AW00011110,NULL,Curtis  Yang,1967-12-04,M,"M         ",curtis5@adventure-works.com,1,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,NULL,1 (11) 500 555-0127
112,34,AW00011111,NULL,MeredithT Gutierrez,1967-08-23,M,"F         ",meredith34@adventure-works.com,1,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,NULL,1 (11) 500 555-0179
113,25,AW00011112,NULL,CrystalC Wang,1968-03-08,M,"F         ",crystal3@adventure-works.com,1,Partial College,Skilled Manual,1,1,2773 Kirkwood Dr,NULL,1 (11) 500 555-0134
114,30,AW00011113,NULL,MichealA Blanco,1973-02-17,M,"M         ",micheal11@adventure-works.com,5,Bachelors,Professional,1,2,596 Marfargoa Drive,NULL,1 (11) 500 555-0131
115,14,AW00011114,NULL,LeslieC Moreno,1967-11-25,S,"F         ",leslie7@adventure-works.com,5,Partial College,Skilled Manual,1,2,7941 Cristobal,NULL,1 (11) 500 555-0115
116,17,AW00011115,NULL,AlvinD Cai,1967-08-12,M,"M         ",alvin20@adventure-works.com,5,Partial College,Skilled Manual,1,2,7759 Azalea Avenue,NULL,1 (11) 500 555-0191
117,18,AW00011116,NULL,ClintonE Carlson,1979-04-02,M,"M         ",clinton14@adventure-works.com,5,Partial College,Skilled Manual,1,2,7943 Cunha Ct.,NULL,1 (11) 500 555-0184
118,8,AW00011117,NULL,April  Deng,1966-08-21,M,"F         ",april1@adventure-works.com,5,Partial College,Skilled Manual,1,3,485 Ash Lane,NULL,1 (11) 500 555-0182
119,6,AW00011118,NULL,AlvinM Zeng,1962-12-31,S,"M         ",alvin21@adventure-works.com,1,Partial College,Skilled Manual,0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174
120,13,AW00011119,NULL,EvanV James,1940-10-07,S,"M         ",evan8@adventure-works.com,2,Partial College,Clerical,0,2,4157 Sierra Ridge,NULL,1 (11) 500 555-0187
121,18,AW00011120,NULL,BethH Jiménez,1942-02-06,S,"F         ",beth8@adventure-works.com,2,Bachelors,Management,1,1,7401 Las Palmas,NULL,1 (11) 500 555-0164
122,10,AW00011121,NULL,Orlando  Suarez,1966-05-18,M,"M         ",orlando19@adventure-works.com,5,Partial College,Skilled Manual,1,3,7743 Hames Dr,NULL,1 (11) 500 555-0198
123,12,AW00011122,NULL,Byron  Vazquez,1965-09-30,M,"M         ",byron9@adventure-works.com,5,Partial College,Skilled Manual,1,3,3187 Hackamore Lane,NULL,1 (11) 500 555-0136
124,39,AW00011123,NULL,PhilipA Alvarez,1965-12-18,M,"M         ",philip4@adventure-works.com,5,Partial College,Skilled Manual,1,3,2775 Mt. Olivet Pl.,NULL,1 (11) 500 555-0191
125,40,AW00011124,NULL,RossF Jordan,1968-07-23,S,"M         ",ross1@adventure-works.com,1,Partial College,Skilled Manual,1,1,6973 Dublin Court,NULL,1 (11) 500 555-0126
126,37,AW00011125,NULL,DanaJ Navarro,1961-10-06,S,"F         ",dana2@adventure-works.com,1,Partial College,Skilled Manual,1,1,8481 Zartop Street,NULL,1 (11) 500 555-0172
127,11,AW00011126,NULL,Shaun  Carson,1954-10-05,M,"M         ",shaun16@adventure-works.com,2,High School,Skilled Manual,0,2,57 Wolf Way,NULL,1 (11) 500 555-0155
128,361,AW00011127,NULL,Jan  Edwards,1981-04-19,M,"F         ",jan11@adventure-works.com,0,High School,Skilled Manual,1,1,9409 The Alameda,NULL,111-555-0118
129,635,AW00011128,NULL,Samantha  Long,1981-06-03,M,"F         ",samantha35@adventure-works.com,0,High School,Skilled Manual,1,1,1606 Alderwood Lane,NULL,175-555-0139
130,638,AW00011129,NULL,JuliaM Wright,1981-02-01,S,"F         ",julia17@adventure-works.com,0,High School,Skilled Manual,1,1,7397 Central Blvd.,NULL,456-555-0174
131,543,AW00011130,NULL,CarolineL Russell,1985-07-05,M,"F         ",caroline21@adventure-works.com,0,High School,Skilled Manual,1,2,3884 Bates Court,NULL,424-555-0137
132,50,AW00011131,NULL,Amanda  Rivera,1985-09-09,M,"F         ",amanda7@adventure-works.com,0,High School,Skilled Manual,0,2,9573 Royal Oak Rd.,NULL,918-555-0126
133,51,AW00011132,NULL,MelissaE Richardson,1986-04-25,S,"F         ",melissa31@adventure-works.com,0,High School,Skilled Manual,0,2,6832 Fruitwood Dr,NULL,928-555-0118
134,542,AW00011133,NULL,Angela  Griffin,1986-03-08,S,"F         ",angela23@adventure-works.com,0,Partial High School,Clerical,0,2,3828 Baltic Sea Ct,NULL,598-555-0174
135,30,AW00011134,NULL,LarryD Townsend,1957-02-22,S,"M         ",larry14@adventure-works.com,5,High School,Skilled Manual,1,2,7034 Carson,NULL,1 (11) 500 555-0130
136,302,AW00011135,NULL,MarcusL Harris,1985-05-02,S,"M         ",marcus14@adventure-works.com,0,Partial High School,Clerical,0,2,9068 Quiet Place Drive,NULL,442-555-0119
137,53,AW00011136,NULL,BriannaD Morgan,1984-04-24,S,"F         ",brianna30@adventure-works.com,0,High School,Skilled Manual,0,2,9005 Eagle Ct.,NULL,954-555-0117
138,641,AW00011137,NULL,JasmineA Taylor,1984-01-17,M,"F         ",jasmine7@adventure-works.com,0,High School,Skilled Manual,1,2,2457 Matterhorn Court,NULL,557-555-0146
139,325,AW00011138,NULL,Lauren  Davis,1984-03-14,M,"F         ",lauren23@adventure-works.com,0,High School,Skilled Manual,0,2,8105 Pembrook Court,NULL,832-555-0121
140,28,AW00011139,NULL,Tanya  Moreno,1949-11-05,S,"F         ",tanya2@adventure-works.com,2,Partial College,Clerical,0,2,6155 Wilbur Drive,NULL,1 (11) 500 555-0185
141,301,AW00011140,NULL,JavierL Alvarez,1982-08-11,S,"M         ",javier1@adventure-works.com,0,Partial High School,Clerical,0,2,8935 Etcheverry Dr.,NULL,763-555-0134
142,314,AW00011141,NULL,Nicole  Ramirez,1982-12-19,M,"F         ",nicole42@adventure-works.com,0,High School,Skilled Manual,0,2,1101 C Street,NULL,152-555-0162
143,51,AW00011142,NULL,Eduardo  Patterson,1983-02-11,S,"M         ",eduardo55@adventure-works.com,0,High School,Skilled Manual,0,2,6255 Macalvey Dr.,NULL,190-555-0184
144,334,AW00011143,NULL,JonathanM Henderson,1982-08-04,M,"M         ",jonathan4@adventure-works.com,0,High School,Skilled Manual,1,2,165 East Lane Road,NULL,149-555-0113
145,607,AW00011144,NULL,Edward  Hernandez,1985-03-08,S,"M         ",edward48@adventure-works.com,0,High School,Skilled Manual,0,2,7607 Pine Hollow Road,NULL,178-555-0196
146,536,AW00011145,NULL,JasmineL Coleman,1985-06-06,S,"F         ",jasmine46@adventure-works.com,0,High School,Skilled Manual,0,2,1961 Oak Grove Road,NULL,857-555-0115
147,8,AW00011146,NULL,KarlaL Goel,1945-02-22,S,"F         ",karla20@adventure-works.com,2,Bachelors,Management,1,2,3272 Corrie Lane,NULL,1 (11) 500 555-0137
148,40,AW00011147,NULL,ErnestL Wu,1944-08-04,M,"M         ",ernest6@adventure-works.com,2,Graduate Degree,Management,1,1,1832 RiverRock Dr,NULL,1 (11) 500 555-0139
149,22,AW00011148,NULL,Ross  Vazquez,1947-02-13,M,"M         ",ross32@adventure-works.com,2,Bachelors,Management,1,2,1201 Paso Del Rio Way,NULL,1 (11) 500 555-0163
